Query 1
0.000128567755207 Q1_S1
0.000109003706126 Q1_S2
4.53473607836e-05 Q1_S3
4.39097216124e-05 Q1_S4
4.29959583799e-05 Q1_S5
3.37381916329e-05 Q1_S6
0.000127975428718 Q1_S7
9.28160386115e-05 Q1_S8

Query 2
4.41696113074e-05 Q2_S1
4.3956043956e-05  Q2_S2
3.99361022364e-05 Q2_S3
4.02771064927e-05 Q2_S4
0.000232991612302 Q2_S5
4.21194507624e-05 Q2_S6
3.80199224394e-05 Q2_S7
3.9736151951e-05  Q2_S8
